CO2 emissions from fossil-fuels since 1751 (metric tons),1751,1755,1760,1765,1770,1775,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22000,51333.33333,80666.66666,117333.33333,165000,267666.6667,352000.00003,443666.6667,594000,942333.3333,1507000,2497000,3754666.667,4216666.667,4642000.0003,5016000.0003,5346000.0003,5775000.0003,6482666.667,6886000.0003,7351666.667,7843000.0003,8250000.0003,8393000.0003,8499333.3336,8792666.6669,8877000.00023,9023666.66693,9273000.00023,9522333.33353,9797333.33353,10083333.33353,10369333.33353,10670000.00023,10963333.33353,11256666.66683,11564666.66683,11876333.33353,12199000.00023,12521666.66693,12859000.00023,13192666.66693,13541000.00023,13885666.66693,14230333.33363,14593333.33363,14982000.00033,15389000.00033,15799666.66703,16225000.00033,16661333.33363,17108666.66693,17570666.66693,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1085333.333,1976333.333,3732666.666,5103999.999,6042666.6657,7428666.6657,8983333.3327,10977999.9997,13243999.9997,15550333.3327,17632999.9997,19983333.3327,22905666.6657,24977333.3327,27470666.6657,30286666.6657,33150333.3327,36948999.9997,40934666.6667,47193666.6667,53452666.6667,61075666.6667,67015666.6667,75929333.3337,85880666.6667,95366333.3337,105519333.3337,114198333.3337,121143000.0007,126133333.3337,128366333.3337,130889000.0007,134618000.0007,140514000.0007,146058000.0007,153362000.0007,161813666.6677,172780666.6677,184026333.3377,195294000.0077,208677333.3377,221426333.3377,234567666.6677,247345999.9977,260201333.3277,273313333.3277,286557333.3277,300809666.6577,314819999.9877,329930333.3177,346657666.6477,363021999.9777,380416666.6477,396296999.9777,410252333.3077,423745666.6377,437836666.6377,451802999.9677,465483333.2977,479200333.2977,493731333.2977,511140666.6277,526522333.2977,556471666.6277,591466333.2977,627593999.9677,662760999.9677,699544999.9677,739141333.2977,783478666.6277,831130666.6277,875365333.2977,924359333.2977,973169999.9677,1024345666.6377,1078036666.6377,1128115999.9677,1183838333.2977,1242699333.2977,1305831999.9677,1371369999.9677,1440446333.2977,1517768999.9677,1600496333.2977,1689427666.6277,1779576333.2977,1873633666.6277,1969194333.2977,2064116999.9677,2163894333.2977,2264676333.2977,2367306333.2977,2477999333.2977,2586726999.9977,2688759333.2977,2792173999.9977,2897377999.9977,3003890999.9977,3104478666.6977,3208681666.6977,3323613333.3977,3445075333.3977,3562155666.6977,3674758999.9977,3791769666.6977,3913205999.9977,4031804333.2977,4155143666.5977,4277679999.8977,4406885999.8977,4541551666.5977,4679212999.8977,4824687999.8977,4965751999.8977,5098371666.5977,5221626666.5977,5354741333.2977,5510897333.2977,5666532666.5977,5837696333.2977,6011268999.9977,6193381333.2977,6368083333.2977,6549688245.7977,6745246019.8977
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4051666.667,6948333.334,9914666.667,13405333.334,16012333.334,19290333.334,22696666.667,25754666.667,29219666.667,32761666.667,35805000,39233333.333,42878000,47237666.667,51619333.334,56686666.667,62241666.667,66733333.334,,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179666.6667,627000,1239333.3333,1888333.3333,3729000.0003,5657666.6673,7381000.0003,9152000.0003,10915666.6673,12697666.6673,14509000.0003,16360666.6673,18029000.0003,19712000.0003,21945000.0003,24181666.6673,26436666.6673,28691666.6673,30950333.3343,33223666.6673,35497000.0003,37854666.6673,40142666.6673,42438000.0003,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278666.6667,788333.3334,1144000.0001,1543666.6668,1811333.3335,2233000.0002,2929666.6669,3824333.3336,4557666.6669,5199333.3336,5800666.6669,6493666.6669,7201333.3336,8070333.3336,8961333.3336,9790000.0003,10721333.3336,11788333.3336,12756333.3336,14212000.0006,16419333.3336,18186666.6666,20199666.6666,22626999.9996,25200999.9996,28108666.6666,30997999.9996,34033999.9996,37564999.9996,40993333.3326,44542666.6656,48553999.9986,52708333.3316,56675666.6646,61038999.9976,65633333.3306,70139666.6636,75118999.9966,80736333.3296,86525999.9966,96700999.9966,108148333.3266,119551666.6566,130778999.9866,142332666.6566,154388666.6566,168758333.3266,184246333.3266,201013999.9966,215632999.9966,233383333.3266,252970666.6566,274240999.9866,297025666.6566,321522666.6566,343746333.3266,363568333.3266,384889999.9966,408257666.6666,430514333.3366,456756666.6666,480641333.3366,505604000.0066,531296333.3366,559467333.3366,589105000.0066,618676666.6766,650617000.0066,680265666.6766,707978333.3466,734682666.6766,757705666.6766,778063000.0066,803601333.3366,830591666.6666,860339333.3366,892701333.3366,927230333.3366,961451333.3366,1000314333.3366,1036867333.3366,1077222666.6666,1121163999.9966,1164221666.6666,1208045666.6666,1249863999.9966,1295191333.3266,1342872666.6566,1391562333.3266,1441443666.6566,1496227333.3266,1555304666.6566,1615555333.3266,1675039666.6566,1742935333.3266,1813668999.9966,1886760333.3266,1961340333.3266,2039014999.9966,2122794666.6666,2210988999.9966,2301570333.3266,2396474666.6566,2497494999.9566,2606464666.6566,2727420666.6566,2847742333.3566,2976996000.0566,3111606666.7566,3253851333.4566,3401456666.7566,3554217333.4566,3711689666.7566,3882666333.4566,4055007000.1566,4230875000.1566,4405104000.1566,4592874000.1566,4794870666.8566,4999921666.8566,5220647666.8566,5450987666.8566,5685086000.1566,5910069000.1566,6146642333.4566,6387850333.4566,6627793333.4566,6883877000.1566,7144998666.8566,7422745000.1566,7710050333.4566,7991555000.1566,8285984666.8566,8588074000.1566,8892004000.1566,9199410000.1566,9528640000.1566,9862233333.4566,10209114666.7566,10534608333.4566,10864183000.1566,11189013000.1566,11530379666.8566,11876824666.8566,12226016000.1566,12593115333.4566,12970463000.1566,13351785333.4566,13744749333.4566,14144907333.4566,14506809394.5566,14898947065.5566
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168666.6667,168666.6667,168666.6667,168666.6667,168666.6667,168666.6667,168666.6667,168666.6667,168666.6667,168666.6667,168666.6667,168666.6667,421666.6667,755333.3334,1114666.6667,1481333.3334,1829666.6667,2229333.3334,2632666.6667,3091000,3567666.6667,4026000,4502666.6667,4997666.6667,5478000,5991333.3333,6420333.3333,7007000,7641333.3333,8316000,9023666.6667,9874333.3334,10934000.0004,12103666.6674,13423666.6674,14883000.0004,16151666.6674,17746666.6674,19547000.0004,21662666.6674,23745333.3344,26081000.0014,28343333.3344,30671666.6674,33007333.3344,35819666.6674,39046333.3344,42225333.3344,45928666.6674,50163666.6674,55040333.3344,62289333.3344,68159666.6674,74312333.3344,80696000.0014,87054000.0014,92935333.3344,98013666.6674,103370666.6674,106967666.6674,111884666.6674,117960333.3344,124450333.3344,131820333.3344,141969666.6644,151983333.3344,162719333.3344,171878666.6674,179743666.6674,187839666.6674,195129000.0004,202374333.3334,211244000.0004,234908666.6704,245230333.3404,255838000.0104,267608000.0104,279077333.3404,291133333.3404,302511000.0104,314776000.0104,326736666.6804,339621333.3504,352667333.3504,367623666.6804,382099666.6804,399813333.3504,417956000.0204,438342666.6904,459657000.0204,482694666.6904,507166000.0204,532000333.3504,559694666.6804,588078333.3504,613752333.3504,639320000.0204,666266333.3504,694393333.3504,727954333.3504,770102666.6804,829088333.3504,871288000.0204,928847333.3504,976921000.0204,1026897666.6904,1086569000.0204,1135438333.3504,1170363333.3504,1178400666.6834,1181854666.6834,1185195000.0164,1188212666.6834,1202751000.0134,1222103666.6834,1240704666.6834,1258495333.3534,1278603333.3534,1297607666.6834,1316241666.6834,1336379000.0134,1357587000.0134,1381779666.6834,1400659333.3534,1418776333.3534,1433960000.0234,1448201333.3534,1461966000.0234,1475899333.3534,1489502666.6834,1504774333.3534,1510567666.6864,1516911000.0194,1524262666.6864,1532245000.0194,1540799333.3524,1550420666.6854,1559818333.3524,1564383333.3524,1577154333.3524,1594798333.3524,1619306333.3524,1645904333.3524,1666819000.0224,1690106000.0224,1712197666.6924,1733933666.6924,1758463666.6924,1787562333.3624,1815795666.6924,1845004333.3624,1873120333.3624,1901060333.3624,1931878666.6924,1963738333.3624,1997640333.3624,2034629666.6924,2073569666.6924,2111754333.3624,2151009666.6924,2190972666.6924,2233319000.0224,2278008333.3524,2328696333.3524,2380847333.3524,2437035333.3524,2497194333.3524,2554658333.3524,2609046000.0224,2667456000.0224,2723669666.6924,2781148333.3624,2842737333.3624,2895038666.6924,2951164333.3624,3005027666.6924,3057006333.3624,3111551666.6924,3166247333.3624,3220323333.3624,3278062333.3624,3331397666.6924,3385510333.3624,3446230333.3624,3511827000.0324,3572363666.7024,3632640000.0324,3693737666.7024,3755462333.3724,3818481333.3724,3882376666.7024,3947936666.7024,4011729333.3724,4075419333.3724,4141129666.7024,4208303000.0324,4280613333.3624,4352472666.6924,4426975666.6924,4498618666.6924,4567625333.3624,4635851000.0324,4698158666.7024,4763613814.0824,4826374853.6524
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57676666.67,107037333.34,149706333.34,183183000.01,214694333.34,244500666.67,276173333.34,304747666.67,334253333.34,363022000.01,392634000.01,423247000.01,455334000.01,489668666.68,528832333.35,574372333.35,627304333.35,676375333.35,724062273.96,775367616.37
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55000,121000,198000,278666.66667,363000,491333.3333,630666.6666,806666.6666,986333.3333,1246666.6666,1657333.3333,2203666.6666,2929666.6666,3637333.3333,4722666.6663,6038999.9993,7131666.6663,8836666.6663,10468333.3333,12213666.6663,14787666.6663,21519666.6663,28009666.6663,35881999.9993,43270333.3323,51523999.9993,57988333.3323,67704999.9993,74312333.3323,81242333.3323,89231999.9993,92033333.3323,94295666.6653,96312333.3323,98167666.6653,99678333.3323,101089999.9993,102512666.6663,104052666.6663,105999666.6663,107950333.3333,109732333.3333,111525333.3333,113241333.3333,114961000.0003,116691666.6673,118422333.3343,120164000.0013,121957000.0013,123753666.6683,125550333.3353,127347000.0023,129429666.6693,131299666.6693,133452000.0023,135725333.3353,138053666.6683,140473666.6683,142934000.0013,145519000.0013,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11000,132000,663666.6667,2614333.3337,5870333.3337,9350000.0007,12536333.3337,15506333.3337,18359000.0007,20977000.0007,23738000.0007,26557666.6677,29623000.0007,32985333.3337,36938000.0007,41517666.6677,46130333.3347,47512666.6677,48689666.6677,49976666.6677,50974000.001,52019000.001,53423333.334,54479333.334,55234666.6673,56525333.3343,57838000.0013,58413666.668,60184666.668,61776000.001,62971333.334,64570000.001,65798333.334,66447333.334,67452000.001,68555666.668,69828000.001,72420333.334,75460000.001,79141333.334,84663333.334,90068000.001,95821000.001,102395333.334,109864333.334,117630333.334,125763000.001,133650000.001,142175000.001,152012666.668,160240666.668,169447666.668,179640999.998,190651999.998,202080999.998,214243333.328,225980333.328,237863999.998,249366333.328,259955666.658,275095333.328,290348666.658,306368333.328,321988333.328,339305999.998,357708999.998,375726999.998,394368333.328,408294333.328,423991333.328,440458333.328,457966666.658,477172666.658,496668333.328,519064333.328,543363333.328,567581666.658,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3509000,8063000,12723333.333,17592666.666,23162333.333,28974000,34991000,41638666.667,49276333.334,57207333.334,65805666.667,74041000,83163666.667,93397333.337,104859333.337,116721000.007,130265666.677,143718666.677,159250666.677,175189666.677,192936333.347,210342000.017,229309666.687,252123666.687,276151333.357,301213000.027,325251666.697,350482000.027,378345000.027,410791333.357,444488000.027,478375333.357,518166000.027,555786000.027,603951333.357,652428333.357,698866666.687,749899333.357,804568139.507,859604587.527
